Answer: 
( [][[][]][][[][]] , 1.42221 )
( [][[][][[][][]][]] , 0.908558 )
( [][][[[][][]][]] , 1.92804 )
( [][][][][][[][]] , 2.81632 )
( [][[][][]][][][] , 2.47552 )
( [][][][][[][][]] , 1.75129 )
( [][][][[][][]][] , 4.28458 )
( [][[[][][][]][][]] , 1.26128 )
( [][][[][][]][[][]] , 1.52747 )
( [][[][[][]][]][] , 8.44008 )
( [][[][][][][][]][] , 3.5552 )
( [][][[[][]][]][] , 1.48102 )
( [][][][][][][][] , 1.36505 )
( [][][][[][]][][] , 2.16915 )
( [][][][[][][][][]] , 2.88771 )
( [][[][][][][[][]][]] , 1.26637 )
( [][[[][][][][]][]] , 0.875401 )
( [][][[[][][]][][]] , 0.891146 )
( [][[[][]][][][][]] , 0.980345 )
( [[[[][][][]][]][]] , 1.0263 )
( [[][[][]][][]][] , 2.38817 )
( [[[][]][][][]][] , 5.25235 )
( [[[][][]][][]][] , 2.72137 )
( [[][][][][][][]][] , 5.35934 )
( [[][][[][][]][]][] , 0.57494 )
( [[[][[][]]][]][] , 2.29932 )
( [[[][][][][]][]][] , 4.80301 )
( [[[][][][]][][]][] , 1.44725 )
( [[[][][[][]]][]][] , 0.517388 )
( [[][[][][][]][]][] , 0.69455 )
( [[[][]][][][][]][] , 0.637975 )
( [][[[][][]][]][] , 1.01925 )
( [][[][[][][]]][] , 1.14408 )
( [][[[[][]][]][]] , 0.531282 )
( [][[][]][[][][]] , 0.782098 )
( [][[][][[][]]][] , 1.21704 )
( [][[][[][][]][]][] , 0.517358 )
( [][[][]][[][][][]] , 0.511298 )
( [][[][]][][][][] , 0.908516 )
( [[][]][][[][][]] , 0.706529 )
( [[][]][[][][]][] , 1.87407 )
( [[][]][][][[][]] , 0.879701 )
( [[][]][][[][]][] , 0.671406 )
( [[][]][][][][][] , 1.10285 )
( [[][]][[][]][][] , 6.46404 )
( [[][]][[][][][][]] , 0.865606 )
( [[][]][][[][][][]] , 1.05032 )
( [[][]][[][][]][][] , 0.467551 )
( [[][][]][[][][]] , 0.959836 )
( [[][][]][[][]][] , 3.7081 )
( [[][][]][[][][][]] , 0.623101 )
( [[][][]][][][][] , 3.5491 )
( [[][][][]][][[][]] , 1.97372 )
( [[][][][]][[][]][] , 1.72654 )
( [[][][][][]][][][] , 0.607814 )
( [[][][][][]][[][]] , 3.08733 )
( [[[][]][][]][][] , 0.89196 )
( [[][][[][][]]][][] , 1.91065 )
( [[][][][[][]]][][] , 0.795774 )
( [[][[][][]][]][][] , 0.506041 )
( [[][][][[][][]]][] , 0.469854 )
( [[][][[][][][]]][] , 0.528722 )
( [[][][][][[][]]][] , 2.74568 )
( [[][][][[][]][]][] , 0.502732 )
( [[][[][][]][][]][] , 0.870005 )
( [[][][[][][][]]] , 0.792587 )
( [[][][][[][][]]] , 1.67938 )
( [[][][][][[][]]] , 1.44402 )
( [[[][]][][[][]]][] , 0.46781 )
( [[][[][][]][][][]] , 2.51939 )
( [[][[][][][][]][]] , 1.89135 )
( [[][][]][[][][]][] , 0.606107 )
( [[][][][[][][]][]] , 1.50266 )
( [[][][[][][][]][]] , 1.47208 )
( [[][[][[][]]][]] , 0.569267 )
( [[][[][]][][][][]] , 2.92416 )
( [[[][[][][]]][]] , 0.638264 )
( [[][][][][][][][][]] , 3.61748 )
( [[][[][[][]]][][]] , 0.911316 )
( [[][[][][][][]][][]] , 1.65552 )
( [[][][[][]][][][]] , 1.46291 )
( [[][][][[][][]][][]] , 0.861192 )
( [[][][][][][[][]][]] , 2.32952 )

